"","X","post_surve","prolificID","SubID","confirm_code","basic_id","d_p","feature"
"1",1,"theamountofdarkspaceonthesmallcubeontopofthesphere","597ce9658a05ba00010a57b8","10a57b8","0FvL60vh.txt","10a57b8",4.36944796178993,3
"2",2,"Therewasarocknearthecenterthatchangedinsizeandshape.","5ad129a3459c3500011368d9","11368d9","2BQJ0utZ.txt","11368d9",4.63538252742346,2
"3",3,"Therewasasmalloutcroppingontheleft-centersideoftheobjectthatchangedbetween3differentsizesforeachset.","5b0c3878b8734300010eb4dc","10eb4dc","4M6HD5z5.txt","10eb4dc",4.36944796178993,1
"4",4,"Thetopsmallpartonthetopfaceofthecube.","5aeb3d10730cd70001f6ed26","1f6ed26","5pHo5Awr.txt","1f6ed26",4.03883342676998,3
"5",5,"therightside","5bc4bf259d9a7c0001cf8384","1cf8384","71YJlQLl.txt","1cf8384",2.94061741698248,2
"6",6,"Therewasasmalltrianglebitinthebottomleftpartoftheobjectthatwouldchangesizebetweendifferentiterations.","5bae61a3f1f9ba00013f48f4","13f48f4","7505yPc9.txt","13f48f4",4.35394378435856,1
"7",7,"Therewasasmalltrianglethathadaroundfourdifferentvariationsonsize.","TeatimeInquisitor","","9VaJxml1.txt","",4.63538252742346,1
"8",8,"Therightsideonmyviewwheretherewasadarkergraybandhadarockpartthatchangedsize.","5bcbe231c434df000101e034","101e034","a2ffslTL.txt","101e034",4.63538252742346,2
"9",9,"Thesmallknobbelowandtotheleftofcenterchangedsize/shape","5bb3ae8292b77f0001c471fb","1c471fb","CCj9uvhw.txt","1c471fb",4.36944796178993,2
"10",10,"Thereisalittlerockinthecenter-leftareathatchangessizes","58e95834f3f183000171167a","171167a","daowlQB8.txt","171167a",4.03883342676998,1
"11",11,"thelittletriangleatthetop","5b175ea8f6cef000014294f4","14294f4","DhCdzSaW.txt","14294f4",4.63538252742346,3
"12",12,"thesmalltriangleinmiddleontheleft","5b7f2e9502a73300018393e3","18393e3","Dt4zVIKm.txt","18393e3",4.63538252742346,1
"13",13,"Therewasalittlepartinthecenter-rightthatchangedbetweenthreedifferentwidths.","5afde494e46d8800013350ed","13350ed","eZUFRmNQ.txt","13350ed",3.11546620136051,2
"14",14,"Ithinkitwasthelargershapeontopbutstillunsure","5b16c598d81c880001187bc1","1187bc1","GGxCofhI.txt","1187bc1",-0.163348368880666,3
"15",15,"Lightgreytrianglewithdarkgreyshapeunderneathontheright","5aa41c5035237b000112f40b","112f40b","ghLMfjbA.txt","10a57b8",4.36944796178993,3
"16",16,"Theshadingontheobjects","59877315f8b162000167a2c6","167a2c6","GOd77jPv.txt","167a2c6",-0.0809252761643876,2
"17",17,"Theshadingespeciallyinthedarkareas","5bca834be642db0001d3c487","1d3c487","hB20myQ4.txt","1d3c487",2.20879354956495,2
"18",18,"oneofthesmallerbitsof3Dontheleft","5ba8ee6f2df3b3000166a21b","166a21b","hEfpm9lV.txt","166a21b",3.45377089445418,1
"19",19,"colour","5b29af14a7cee100011dfa14","11dfa14","ixcWeljC.txt","11dfa14",-0.285868185381774,1
"20",20,"Theshadowonthetoplittlenubbinoneachobjectwasdifferentbetweenthepairs","5bc2b8b7a1241c0001d5d471","1d5d471","k5Fm6GrZ.txt","1d5d471",2.40026865331194,3
"21",21,"thesmallrockperturbations","5b905ab145cd3c0001003ca7","1003ca7","KFOcfzLY.txt","1003ca7",-0.0301163315526696,2
"22",22,"ThemiddleportionsoftworocksthatremindedmeofhandsiswhatInoticed.","5b875b8a7afca10001589721","1589721","KrDqsXsY.txt","1589721",1.25231380358969,1
"23",23,"thefrontrightsidehadvaryingwidths","5af85a3223708c000159b3ce","159b3ce","kUrJuebb.txt","159b3ce",3.77289886113646,2
"24",24,"Thetopstub","596fc4717008ef000109703d","109703d","lL1tDoYC.txt","109703d",0.974192231616701,3
"25",25,"Thetoprightpiece","5758948e00ca320007267deb","7267deb","NAnkRKaH.txt","7267deb",4.62292219757543,3
"26",26,"onetriangularpieceatthebottom","5bacdd6b1c5cad00010b4792","10b4792","NCxoMIUo.txt","10b4792",3.88625635455642,2
"27",27,"thelittlenubatthefront","55bede0dfdf99b6b67092299","7092299","OjX485L4.txt","7092299",3.79387862035597,2
"28",28,"multipleshapeschanged","5bd3b717654665000102b3b9","102b3b9","oNFVOWWk.txt","102b3b9",0.454729585221621,3
"29",29,"thebottom/middleobjectontherightsidewouldbedifferentsizes.","54846a7cfdf99b07b28f22d4","28f22d4","PIYm9Gh3.txt","28f22d4",4.07531736342086,2
"30",30,"thebumpthinginthemiddlefrontwasthickerorthinner","5b7465eb4f6e2c0001ab5f8b","1ab5f8b","QhPI9hUE.txt","1ab5f8b",2.92640519249607,2
"31",31,"Partoftherockthatmetanoutcroppingoftherockatthetopchangedheight","5b293c65db964d00019299c4","19299c4","QTYnmT81.txt","19299c4",4.07434475606761,3
"32",32,"thesmallerpartsthatwerestickingon","5656389d995911000f482b7d","f482b7d","r8gQJgBt.txt","f482b7d",2.02658051050963,1
"33",33,"Nothing","5a92d646f6dfdd0001ea37ce","1ea37ce","RJrTijUw.txt","1ea37ce",NA,3
"34",34,"Apartjuttingoutfromthebottomright.Theshadowandsizewerealwaysdifferent.","5b27f715007d870001c7ee79","1c7ee79","U2Oevk2B.txt","1c7ee79",4.63538252742346,2
"35",35,"TheeyebitsiswhatIperceivedittobe,theyweretriangles.","5bc33aa0ff10920001327f4e","1327f4e","uHd8ljVY.txt","1327f4e",1.16634623183492,1
"36",36,"thebottompartoftherockkindathingwasdifferent.","58b37d00731c3f0001d27748","1d27748","UIFMUjAC.txt","1d27748",3.14939482617898,2
"37",37,"thesquareboxontopwasdifferentbetweenthepairs","5bd1e0ee1ce249000104869a","104869a","uVigfLZz.txt","104869a",0.835508030930939,3
"38",38,"Appearedthatthedifferencesweremainlyinthelowerobjectsandnottheonesatthetop.","576ecc498445140001a36cb9","1a36cb9","vhjXTJI1.txt","1a36cb9",-0.85361154211611,3
"39",39,"Therewasonlyonesmallpartthateverchangednearthemiddleleftoftherock","5ba2d949821f7600011d1ccc","11d1ccc","XAWHdBMX.txt","11d1ccc",4.08800921872504,1
"40",40,"asmalltriangularsectiononthelowerleftishside","5ba848ef7763b200011d8b6b","11d8b6b","yFXhltUe.txt","11d8b6b",3.78632028248396,1
